customer_id,name,email,country,created_at
6744ab06-e17f-4a16-afa6-a4126b573537,Customer_0,customer_0@email.com,Brazil,2023-10-29 15:29:05.538013
3fcfa412-e52e-427a-aa3d-2abd88c5dd9b,Customer_1,customer_1@email.com,Brazil,2025-03-18 15:29:05.538030
a2c8b020-ca51-4f09-a93a-79f23ff6aa90,Customer_2,customer_2@email.com,USA,2024-02-13 15:29:05.538039
583370a0-0efb-40eb-a9b7-979b049005cc,Customer_3,customer_3@email.com,,2024-08-10 15:29:05.538045
c95e4835-3644-4e70-902d-add26baeffaa,Customer_4,customer_4@email.com,,2023-10-29 15:29:05.538051
32de43e1-40b4-4c75-8fbf-0b772c0bd3ca,Customer_5,customer_5@email.com,Portugal,2023-11-03 15:29:05.538056
5c02073f-4c90-4a32-b385-675c46f9f222,Customer_6,customer_6@email.com,,2024-08-04 15:29:05.538061
8b3c30bd-f458-4fcf-8afc-17cae3f089c8,Customer_7,customer_7@email.com,Portugal,2023-12-25 15:29:05.538066
de778248-2bbb-4f1d-9a1a-16345037d151,Customer_8,customer_8@email.com,USA,2023-11-22 15:29:05.538070
4aff8909-34be-4713-8689-fbe8bec50a03,Customer_9,customer_9@email.com,Portugal,2025-02-24 15:29:05.538074
799dec2e-17e2-4dc0-9b6e-8fd9f6737441,Customer_10,customer_10@email.com,Portugal,2023-11-15 15:29:05.538079
1fb4265f-c058-4a7f-9dbc-dbb5259617ae,Customer_11,customer_11@email.com,Brazil,2024-11-27 15:29:05.538087
6a45204e-57e0-4511-bc64-197b5569a11f,Customer_12,customer_12@email.com,USA,2023-11-10 15:29:05.538092
db026fb5-a385-4850-af03-468adc48c8b1,Customer_13,customer_13@email.com,,2023-09-26 15:29:05.538096
65b2acd2-c722-44e2-bb1f-4314963b9c12,Customer_14,customer_14@email.com,Brazil,2025-12-29 15:29:05.538100
202cb7db-4266-407f-8aaa-35cb03c6218b,Customer_15,customer_15@email.com,,2024-09-16 15:29:05.538121
12b2ed64-7f3c-4e22-820b-b65797e635fd,Customer_16,customer_16@email.com,USA,2025-12-30 15:29:05.538135
bfa1767c-45ef-4a9b-8636-4585704d5706,Customer_17,customer_17@email.com,,2025-03-27 15:29:05.538143
3e0e5593-4285-43bc-87c7-a577ee868544,Customer_18,customer_18@email.com,Brazil,2025-02-05 15:29:05.538149
